row,key_2026,name_2026,V03,method,note,status
153,03040PLO001,PLOOYSBURG,NK-PLO001,key+name,,keep
154,02037UIT002,UITENHAGE-DE MIST,OK-UIT002,key+name,,keep
155,01015HOP001,HOPEFIELD,WK-HOP001,key+name,,keep
156,08102ALB003,Alberton-Noord,HS-ALB003,key-only,,keep
157,01025CON001,CONSTANTIA,WK-CON001,key+name,,keep
158,07087MOR001,NGK Môregloed,NS-MOR001,key+name,,keep
159,01004SUI009,Suidpunt,WK-SUI009,key+name,,keep
160,03040GRI001,GRIEKWASTAD,NK-GRI001,key+name,,keep
161,08102ALB006,NGK Alberton-Wes,HS-ALB006,key+name,,keep
162,02027POR006,PORT ELIZABETH-LORRAINE,OK-POR006,key+name,,keep
163,01024MUR001,MURRAY,WK-MUR001,key+name,,keep
164,08106BRA006,Brakpan,HS-BRA006,key+name,,keep
165,05066WEP001,WEPENER,VS-WEP001,key+name,,keep
166,06068DEA004,Dealesville,VS-DEA004,key+name,,keep
167,06085MAL002,MALOPO,GL-MAL002,key+name,,keep
168,04134PIN002,Pinetown,KZ-PIN002,key+name,,keep
169,06078COL002,COLIGNY,GL-COL002,key+name,,keep
170,01013CAL003,CALITZDORP,WK-CAL003,key+name,,keep
171,04135NEW001,NEWCASTLE,KZ-NEW001,key-only,,keep
172,06078SED001,Sederpark,GL-SED001,override,,keep
173,03038WIL004,Williston,NK-WIL004,key+name,,keep
174,02029TAR001,Ned Geref Kerk Tarkastad,OK-TAR001,key-only,,keep
175,06078LIC002,Lichtenburg-Oos,GL-LIC002,key+name,,keep
176,07098VAL001,Valhalla,NS-VAL001,key+name,,keep
177,06077MAG001,Magaliesburg,GL-MAG001,key+name,,keep
178,04136EMP001,EMPANGENI,KZ-EMP001,key+name,,keep
179,07099UNI006,UNIVERSITEITSOORD,NS-UNI006,key+name,,keep
180,09123LYT002,NG KERK LYTTELTON-NOORD,OS-LYT002,key+name,,keep
181,06080POT001,POTCHEFSTROOM,GL-POT001,key+name,,keep
182,02037UIT005,UITENHAGE - WINTERHOEK,OK-UIT005,key+name,,keep
183,02026DIA002,DIAS,OK-DIA002,key+name,,keep
184,03041VAN008,"NG Kerk, Vanderkloof",NK-VAN008,key+name,,keep
185,V01,NG KLERKSDORP-SUID,GL-KLE008,name-exact,,keep
186,07091DWA001,DWAALBOOM,NS-DWA001,key+name,,keep
187,01013OUD007,OUDTSHOORN-WES,WK-OUD007,key+name,,keep
188,07100SPR001,Springbokvlakte,NS-SPR001,key+name,,superseded
189,06084UNI002,UNITASPARK,GL-UNI002,key+name,,keep
190,08103BEN002,BENONI-BENJAMIN,HS-BEN002,key+name,,keep
191,02032HUM001,HUMANSDORP,OK-HUM001,key+name,,keep
192,01016ALB002,ALBERTINIA,WK-ALB002,key+name,,keep
193,05064PET002,PETRUS STEYN,VS-PET002,name-exact,,keep
194,07088VOR001,vorentoe,NS-VOR001,key+name,,keep
195,02032KAR004,Kareedouw,OK-KAR004,key+name,,keep
196,06084LUX001,Lux Deo NG Kerk,GL-LUX001,override,,keep
197,02030DOR001,DORDRECHT,OK-DOR001,key+name,,keep
198,05062ODE002,Ng Moedergemeente Odendaalsrus,VS-ODE002,key-only,,keep
199,09119CAR004,CAROLINA,OS-CAR004,key+name,,keep
200,07094FLO001,NG Gemeente Florandia,NS-FLO001,key+name,,keep
201,05058HUG001,HUGENOOT (BLOEMFONTEIN),VS-HUG001,key+name,,keep
202,09123OI001,OLIFANTSFONTEIN,OS-OLI001,name-exact,,keep
203,01003KUI002,KUILSRIVIER-DEEIKE,WK-KUI002,key+name,,keep
204,05058BER002,NG GEMEENTE BERG-EN-DAL,VS-BER002,key-only,,keep
205,05065STE010,STEYNSRUS,VS-STE010,key+name,,keep
206,05063TWE001,TWEELING,VS-TWE001,key+name,,keep
207,06083VAA002,VAALRIVIER,GL-VAA002,key+name,,keep
208,04135BER004,NG KERK BERGVILLE,KZ-BER004,key+name,,keep
209,03045MAR003,MAREETSANE,NK-MAR003,key+name,,keep
210,02037UIT004,UITENHAGE-OOS,OK-UIT004,key+name,,keep
211,01017SOM002,SOMERSET-WES,WK-SOM002,key+name,,keep
212,05060THE003,NG Kerk Theunissen-Wes,VS-THE003,key-only,,keep
213,01014PAA004,Paarlberg,WK-PAA004,key+name,,keep
214,02036DES004,NGK Despatcvh-Suid,OK-DES004,key+name,,keep
215,05066ZAS001,ZASTRON,VS-ZAS001,key+name,,keep
216,03039KUR001,KURUMAN,NK-KUR001,key+name,,keep
217,03039DEB001,DEBEN,NK-DEB001,name-exact,,keep
218,03041PH1001,PHILIPSTOWN,NK-PHI001,name-exact,,keep
219,07086PRE009,PRETORIA-TUINE,NS-PRE009,key+name,,keep
220,06078LIG001,NG Gemeente LIG en LEWE Lichtenburg,GL-LIG001,key-only,,keep
221,03038VAN015,VANWYKSVLEI,NK-VAN015,key+name,,keep
222,01004KLE001,KOGELBERG (KLEINMOND),WK-KLE001,key-only,,keep
223,09127PAA001,PAARDEKOP,OS-PAA001,key+name,,keep
224,03036KAL001,Kalahari,NK-KAL001,key+name,,keep
225,07099AND003,ANDREW MURRAY PRETORIA,NS-AND003,key+name,,keep
226,05059WOO001,WOODLAND HILLS  GEMEENSKAPSKERK (BFN),VS-WOO001,key-only,,keep
227,07101MAG003,Magalieskruin-Pretoria,NS-MAG003,key+name,,keep
228,03041DEA001,DEAAR,NK-DEA001,key+name,,keep
229,07087WAV001,NG Gemeente Waverley,NS-WAV001,key+name,,keep
230,03043KAK001,KAKAMAS,NK-KAK001,key+name,,keep
231,05067FIC001,Fichardtkruin,VS-FIC001,key-only,,keep
232,08108SUN001,SUNDRA,HS-SUN001,key+name,,keep
233,08114AAS001,AAN-DIE-BERG,HS-AAS001,key-only,,keep
234,01015PIK001,Piketberg,WK-PIK001,key+name,,keep
235,010195WA003,SWARTLAND,WK-SWA003,name-exact,,keep
236,08108PRE002,PRESIDENTSOORD,HS-PRE002,key+name,,keep
237,06074OTT003,NG Gemeente Ottosdal,GL-OTT003,override,,keep
238,03041DAE001,NG Kerk De Aar-Noord,NK-DEA002,name-exact,,keep
239,05062VIR004,Virginia-Wes,VS-VIR004,key+name,,keep
240,03044KIM003,Kimberley - Bakenskop,NK-KIM003,key+name,,keep
241,05068PAR019,PARYS-SUID,VS-PAR019,key+name,,keep
242,9117MAL001,NG Kerk Malelane,OS-MAL001,key+name,,keep
243,06083VAN004,VANDERBIJLPARK-SUID,GL-VAN004,key+name,,keep
244,02035POR012,NG Kerk PE Sonheuwels,OK-POR012,key-only,,keep
245,02029CRA002,CRADOCK NOORD,OK-CRA002,key+name,,keep
246,07097VIL004,Villieria,NS-VIL004,key+name,,keep
247,08112MEL003,Melville Kruis,HS-MEL003,key-only,,keep
248,01021WOL002,WOLSELEY,WK-WOL002,key+name,,keep
249,08103JIB001,NG Jubilaté,HS-JIB001,key+name,,keep
250,07086DAS001,DASPOORT,NS-DAS001,key+name,,keep
251,01022DET001,DETYGER,WK-DET001,key+name,,keep
252,01020SWE001,SWELLENDAM,WK-SWE001,key+name,,keep
253,01001RIC002,RICHMOND,WK-RIC002,key+name,,keep
254,07094PET001,NG Petronella,NS-PET001,name-exact,,keep
255,05057BET006,Bethlehem Efrata,VS-BET006,key+name,,keep
256,07097RIE010,RIETFONTEIN-SUID,NS-RIE010,key+name,,keep
257,06080POT005,POTCHEFSTROOM-MOOIRIVIER,GL-POT005,key+name,,keep
258,01022GOO001,GOODWOOD,WK-GOO001,key+name,,keep
259,09124RIE011,RIETKUIL,OS-RIE011,key+name,,keep
260,07100VAA003,NG Gemeente Vaalwater,NS-VAA003,key+name,,keep
261,09122LYD001,Lydenburg,OS-LYD001,key+name,,keep
262,01018STE006,Stellenbosch-Welgelegen,WK-STE006,key+name,,keep
263,07094HAA001,NG HAAKDOORN,NS-HAA001,key+name,,keep
264,06077KRU002,Krugersdorp-Oos,GL-KRU002,key+name,,keep
265,02027PAT002,NG Ker Patmos,OK-PAT002,key-only,,keep
266,06085SWA005,NG Kerk Swartruggens,GL-SWA005,key+name,,keep
267,07098ELD001,ELDORAIGNE FAMILIEKERK,NS-ELD001,key-only,,keep
268,02026ALB001,ALBANIE,OK-ALB001,key+name,,keep
269,09122lyd002,Lydenburg-Suid,OS-LYD002,key+name,,keep
270,09124MID003,NG Gemeente Middelburg-Kanonkop,OS-MID003,key+name,,keep
271,01006KRA002,Kraaifontein Noord,WK-KRA002,key+name,,keep
272,03046VRY002,NG VRYBURG - NOORD,NK-VRY002,key+name,,keep
273,05062ALL001,ALLANRIDGE,VS-ALL001,key+name,,keep
274,01003KUI004,KUILSRIVIER-SUID,WK-KUI004,key+name,,keep
275,05066SMI001,Smithfield,VS-SMI001,key+name,,keep
276,07091THA002,NG Thabazimbi,NS-THA002,key+name,,keep
277,06073MEYOO4,MEYERTON-OOS,GL-MEY004,name-exact,,keep
278,01005LAM001,Lambertsbaai,WK-LAM001,key+name,,keep
279,05000HAR003,NGK Harrismith,VS-HAR003,key+name,,keep
280,01004GAN001,Gansbaai,WK-GAN001,key+name,,keep
281,05058BRA011,BRANDFORT,VS-BRA011,key+name,,keep
282,09124GRO001,GROBLERSDAL,OS-GRO001,key+name,,keep
283,06080POT003,POTCHEFSTROOM-DIE BULT,GL-POT003,key+name,,keep
284,08103WEL001,Welbekend,HS-WEL001,key+name,,keep
285,02034POR001,PORTELIZABETH-HOOGLAND,OK-POR001,key+name,,keep
286,02037UIT001,UITENHAGE,OK-UIT001,key+name,,keep
287,06081RAN004,NG RANDFONTEIN-NOORD,GL-RAN004,key+name,,keep
288,08111GRE001,Greylingstad,HS-GRE001,key+name,,keep
289,05070WAT002,WATERBRON (BLOEMFONTEIN),VS-WAT002,key+name,,keep
290,05065EXC001,Excelsior,VS-EXC001,key+name,,keep
291,08102ALB004,ALBERTON-OOS,HS-ALB004,key+name,,keep
292,05065SEN002,SENEKAL - NOORD,VS-SEN002,key+name,,keep
293,01011GRO004,GROOT-BRAKRIVIER,WK-GRO004,key+name,,keep
294,02036SON001,Sondagsrivier (Kirkwood),OK-SON001,key+name,,keep
295,07100SPR001,NG Springbokvlakte,NS-SPR001,key+name,,keep
296,05068SAS00,SASOLBURG-VIER ANKERS,VS-SAS002,name-exact,,keep
297,05061TRO001,TROMPSBURG,VS-TRO001,key+name,,keep
298,VS-BLO003,NG Kerk Bloemfontein-Wes Gemeente,VS-BLO003,key-only,,keep
299,01024WOR007,Worcester-Vallei,WK-WOR007,key+name,,keep
300,01024SUT001,SUTHERLAND,WK-SUT001,key+name,,keep
301,07087ZAM001,Zambezi Christen Gemeente,NS-ZAM001,key+name,,keep
302,04134UMH001,UMHLANGA,KZ-UMH001,key+name,,keep
303,05067PEL001,NG Gemeente Pellissier,VS-PEL001,key-only,,keep
304,07096RUS003,RUSTENBURG-BERGSIG,NS-RUS003,key+name,,superseded
305,07100WAR004,Warmbad-Wes,NS-WAR004,key+name,,keep
306,05062HEN003,Hennenman,VS-HEN003,key+name,,keep
307,07097WON003,NG Gemeente Wonderboom-Suid,NS-WON003,key+name,,keep
308,08111BAL001,BALFOUR,HS-BAL001,key-only,,keep
309,01002BEL008,BELLVILLE-WES,WK-BEL008,key+name,,keep
310,07101DOO002,DOORNPOORT,NS-DOO002,key+name,,keep
311,04134NOO004,NOORDKUS,KZ-NOO004,key+name,,keep
312,04136HLU001,HLUHLUWE,KZ-HLU001,key+name,,keep
313,08112PAR004,NG GEMEENTE PARKKRUIN FAMILIEKERK,HS-PAR004,key+name,,keep
314,04133POR017,Port Shepstone,KZ-POR017,key+name,,keep
315,06084ker001,Kerk tussen die Mielielande,GL-KER001,key-only,,keep
316,07087NOO006,NOORDOOS-PRETORIA,NS-NOO006,key+name,,keep
317,06073MEY003,Meyerton,GL-MEY003,key+name,,keep
318,09123MID006,Midrand,OS-MID006,key+name,,keep
319,03047UPI005,NG Kerk Upington Wes,NK-UPI005,key+name,,keep
320,01024WOR006,Worcester-Oos,WK-WOR006,key+name,,keep
321,02027AKG001,ALGOA GEMEENSKAPSKERK,OK-AKG001,key+name,,keep
322,08105WIT006,WITFIELD,HS-WIT006,key+name,,keep
323,03048HAR011,HARTSWATER,NK-HAR011,key+name,,keep
324,01017HEL001,HELDERBERG,WK-HEL001,key+name,,keep
325,02029HOF001,HOFMEYR,OK-HOF001,key+name,,keep
326,08106DAL001,Dalpark,HS-DAL001,key+name,,keep
327,01001FRA004,NG KERK FRASERBURG,WK-FRA004,key+name,,keep
328,08112GRE002,Greydene,HS-GRE002,key-only,,keep
329,01014AGT001,Agter-Paarl,WK-AGT001,key+name,,keep
330,06084DRI002,NG Kerk Drie Riviere-Oos,GL-DRI002,key-only,,keep
331,05067ONZ001,ONZE RUST BLOEMFONTEIN,VS-ONZ001,key+name,,keep
332,01006STE002,Stellenberg,WK-STE002,key+name,,keep
333,01024WOR002,Worcester-Audenberg,WK-WOR002,key+name,,keep
334,06082ROO001,Roodekrans Gemeente,GL-ROO001,key-only,,keep
335,050620HAR00,HARMONIE,VS-HAR002,override,,keep
336,05069mey001,MEYERHOF (BOTHAVILLE),VS-MEY001,key+name,,keep
337,01022THO001,NG GEMEENTE THORNTON,WK-THO001,key+name,,keep
338,06080VEN002,VENTERSDORP,GL-VEN002,key-only,,keep
339,09117WIT009,NG Witrivier,OS-WIT009,key+name,,keep
340,02031STE011,Steytlerville Gemeente,OK-STE011,key-only,,keep
341,07096RUS004,RUSTENBURG-PROTEAPARK,NS-RUS004,key+name,,keep
342,08111NIG003,NG Nigel-Suid,HS-NIG003,key+name,,keep
343,06075FLO005,FLORIDA-SUID,GL-FLO005,key+name,,keep
344,02027KRA003,Kraggakamma,OK-KRA003,key+name,,keep
345,07095PRE003,PRETORIA,NS-PRE003,key+name,,keep
346,02028que001,QUEENSTOWN,OK-QUE001,key+name,,keep
347,02027POR008,N.G Gemeente Port Elizabeth Noord,OK-POR008,key-only,,keep
348,04136pon001,PONGOLA,KZ-PON001,key+name,,keep
349,01011BRA014,BRANDWACHT,WK-BRA014,key+name,,keep
350,01011REE001,REEBOK,WK-REE001,key+name,,keep
351,01025PLU001,PLUMSTEAD,WK-PLU001,key+name,,keep
352,05066ROU001,Rouxville,VS-ROU001,key+name,,keep
353,01001MER003,MERWEVILLE,WK-MER003,key+name,,keep
354,02035POR003,Port Elizabeth Sionsrand,OK-POR003,key+name,,keep
355,09117ALK001,ALKLMAAR,OS-ALK001,key+name,,keep
356,01023SAL001,Saldanha,WK-SAL001,key+name,,keep
357,04135WEE001,WEENEN,KZ-WEE001,key+name,,keep
358,03043NEI001,Neilersdrift,NK-NEI001,key+name,,keep
359,03042ORA001,ORANIA,NK-ORA001,key+name,,keep
360,09119HEN001,NG GEMEENTE HENDRINA,OS-HEN001,key+name,,keep
361,04136ME001,NG MEERENSEE,KZ-MEE001,name-exact,,keep
362,09124LIG002,LIGKRUIS,OS-LIG002,key+name,,keep
363,09127AME001,NG GEMEENTE AMERSFOORT,OS-AME001,key+name,,keep
364,01020ASH001,Ashton,WK-ASH001,key+name,,keep
365,06076SKO001,SKOONSPRUIT,GL-SKO001,key+name,,keep
366,06080POT002,NG GEMEENTE GRIMBEEKPARK,GL-POT002,key-only,,keep
367,01024WOR005,WORCESTER-NOORD,WK-WOR005,key+name,,keep
368,07000KRE001,Kremetart,,unresolved,,keep
369,02034SOM003,SOMERSTRAND,OK-SOM003,key+name,,keep
370,02029MID001,MIDDELBURG-KAROO,OK-MID001,key+name,,keep
371,01022RUY001,RUYTERWACHT,WK-RUY001,key+name,,keep
372,04134PIE007,NG Kerk Pietermaritzburg-Noord,KZ-PIE007,key+name,,keep
373,06077SKE001,SKEERPOORT,GL-SKE001,key+name,,keep
374,2033005003,NG GEMEENTE OOS LONDEN,OK-OOS003,name-exact,,keep
375,07099SUI008,SUIDOOS-PRETORIA (STELLASTRAAT),NS-SUI008,key+name,,keep
376,05065LAD004,Ladybrand Noord,VS-LAD004,key+name,,keep
377,09127WAK001,WAKKERSTROOM,OS-WAK001,key+name,,keep
378,07093HUL001,HULP-EN-HOOP GEMEENSKAPSKERK,NS-HUL001,key+name,,keep
379,NS-PRE004,NG Gemeente Pretoria Dowes,NS-PRE004,key+name,,keep
380,01009GEO002,George-Bergsig,WK-GEO002,key+name,,keep
381,08115STA004,STANDERTON-WES,HS-STA004,key+name,,keep
382,03046VRY004,NG Vryburg Wes,NK-VRY004,key+name,,keep
383,08114WEL010,WELTEVREDEN,HS-WEL010,key+name,,keep
384,09126PRE001,PREMIERMYN,OS-PRE001,key+name,,keep
385,09125LUX001,LUX MUNDI,OS-LUX001,name-exact,,keep
386,09127VOL001,NG Volksrust,OS-VOL001,key-only,,keep
387,09124BEL001,BELFAST,OS-BEL001,key+name,,keep
388,09125PRE006,Pretoria-Garsfontein,OS-PRE006,key+name,,keep
